title,date,time,address,zip_code,description,group_id,user_id
Feast of St Claire of Assisi,2025-08-04,19:00,St. Leonard's Church,02113,Join us for Mass.,1,2
Ignite Night,2025-08-08,19:00,St. Leonard's Church,02113,"Eucharistic Adoration and Confession available, followed by socializing.",1,2
Feast of the Assumption,2025-08-15,19:00,St. Leonard's Church,02113,Join us for Mass.,1,2
